Nome,cpu total(%),cpus_nucleos,ram(%),disco(%),Quando foi Coletado,Rede recebida(Mbps),Rede enviada(Mbps),Frequencia de uso da CPU(MHz),Endereco MAC
Lucas,1.7,"[2.3, 2.5, 3.2, 3.5]",74.0,22.9,2026-08-21 14:37:05.433369,0.04,0.0,798.29,34:68:95:df:a0:09
Lucas,9.3,"[7.0, 8.4, 9.3, 9.7]",74.6,22.9,2026-08-21 14:37:12.437445,0.15,0.2,723.66,34:68:95:df:a0:09
Lucas,4.2,"[6.4, 3.6, 3.0, 3.9]",74.6,22.9,2026-08-21 14:37:19.441497,0.11,0.0,649.17,34:68:95:df:a0:09
Lucas,2.8,"[3.6, 4.3, 3.0, 2.3]",74.6,22.9,2026-08-21 14:37:26.446190,0.01,0.0,574.55,34:68:95:df:a0:09
Lucas,2.8,"[5.7, 5.7, 4.2, 3.9]",74.1,22.9,2026-08-21 14:37:33.450619,0.32,0.0,798.16,34:68:95:df:a0:09
Lucas,2.4,"[3.2, 4.3, 3.6, 4.6]",74.1,22.9,2026-08-21 14:37:40.454943,0.05,0.0,798.32,34:68:95:df:a0:09
Lucas,3.4,"[4.8, 2.3, 2.7, 2.6]",74.0,22.9,2026-08-21 14:37:47.458601,0.07,0.0,1422.2,34:68:95:df:a0:09
Lucas,2.7,"[5.4, 5.1, 6.1, 4.8]",74.5,22.9,2026-08-21 14:37:54.462256,0.04,0.07,798.46,34:68:95:df:a0:09
Lucas,3.3,"[4.9, 3.8, 6.3, 5.6]",74.6,22.9,2026-08-21 14:38:01.466656,0.01,0.01,723.71,34:68:95:df:a0:09
Lucas,3.4,"[6.0, 5.2, 5.0, 4.9]",74.2,22.9,2026-08-21 14:38:08.471234,0.12,0.01,649.19,34:68:95:df:a0:09
Lucas,9.9,"[6.8, 8.8, 6.6, 8.5]",74.3,22.9,2026-08-21 14:38:15.475385,0.34,0.2,798.09,34:68:95:df:a0:09
Lucas,3.8,"[8.0, 4.8, 5.8, 4.1]",74.6,22.9,2026-08-21 14:38:22.479930,0.09,0.0,798.35,34:68:95:df:a0:09
Lucas,2.0,"[2.9, 3.2, 3.2, 3.9]",74.2,22.9,2026-08-21 14:38:29.484325,0.06,0.05,723.68,34:68:95:df:a0:09
Lucas,3.9,"[7.1, 7.2, 7.9, 8.1]",73.9,22.9,2026-08-21 14:38:36.488742,0.29,0.04,723.68,34:68:95:df:a0:09
Lucas,3.7,"[3.1, 3.7, 3.3, 2.9]",73.9,22.9,2026-08-21 14:38:43.493246,0.06,0.02,798.19,34:68:95:df:a0:09
Lucas,2.5,"[8.2, 9.4, 9.4, 5.8]",74.4,22.9,2026-08-21 14:38:50.497578,0.03,0.0,798.28,34:68:95:df:a0:09
Lucas,1.9,"[3.6, 4.3, 3.0, 3.2]",74.4,22.9,2026-08-21 14:38:57.502038,0.03,0.0,574.55,34:68:95:df:a0:09
Lucas,2.9,"[3.1, 2.7, 3.6, 3.2]",74.3,22.9,2026-08-21 14:39:04.506453,0.33,0.0,574.55,34:68:95:df:a0:09
Lucas,25.3,"[11.9, 23.1, 12.7, 10.4]",74.2,22.9,2026-08-21 14:39:11.510547,0.16,0.19,723.85,34:68:95:df:a0:09
Lucas,4.9,"[2.5, 5.9, 2.4, 4.0]",74.0,22.9,2026-08-21 14:39:18.515100,0.2,0.0,798.27,34:68:95:df:a0:09
Lucas,2.7,"[4.7, 6.9, 15.4, 15.4]",73.8,22.9,2026-08-21 14:39:25.519590,0.21,0.0,723.77,34:68:95:df:a0:09
Lucas,4.4,"[5.5, 5.5, 5.1, 4.6]",73.8,22.9,2026-08-21 14:39:32.523740,0.42,0.03,798.23,34:68:95:df:a0:09
Lucas,2.8,"[3.0, 3.9, 3.2, 2.6]",73.8,22.9,2026-08-21 14:39:39.527160,0.05,0.0,2194.9,34:68:95:df:a0:09
Lucas,1.4,"[2.5, 2.7, 2.6, 2.0]",73.8,22.9,2026-08-21 14:39:46.530573,0.01,0.0,723.88,34:68:95:df:a0:09
Lucas,1.4,"[3.5, 4.8, 3.0, 2.5]",73.8,22.9,2026-08-21 14:39:53.535140,0.03,0.0,723.68,34:68:95:df:a0:09
Lucas,5.3,"[3.5, 3.0, 3.5, 3.3]",73.7,22.9,2026-08-21 14:40:00.539555,0.38,0.03,723.64,34:68:95:df:a0:09
Lucas,1.4,"[4.5, 6.9, 3.6, 4.2]",73.6,22.9,2026-08-21 14:40:07.544074,0.01,0.0,798.27,34:68:95:df:a0:09
Lucas,1.1,"[2.5, 2.7, 2.6, 2.2]",73.4,22.9,2026-08-21 14:40:14.548517,0.02,0.0,649.16,34:68:95:df:a0:09
Lucas,6.6,"[3.8, 8.2, 4.3, 2.5]",73.6,22.9,2026-08-21 14:40:21.553056,0.09,0.06,723.68,34:68:95:df:a0:09
Lucas,1.6,"[2.8, 2.3, 3.6, 2.4]",73.6,22.9,2026-08-21 14:40:28.557553,0.05,0.0,649.12,34:68:95:df:a0:09
Lucas,1.8,"[4.5, 8.2, 3.5, 3.0]",73.7,22.9,2026-08-21 14:40:35.562090,0.01,0.0,574.53,34:68:95:df:a0:09
Lucas,1.9,"[3.5, 4.8, 3.0, 3.6]",73.9,22.9,2026-08-21 14:40:42.566561,0.02,0.0,649.09,34:68:95:df:a0:09
Lucas,2.7,"[2.6, 2.7, 4.2, 2.2]",74.0,22.9,2026-08-21 14:40:49.570464,0.06,0.01,723.86,34:68:95:df:a0:09
Lucas,1.6,"[2.3, 3.2, 2.7, 2.2]",74.0,22.9,2026-08-21 14:40:56.574923,0.03,0.0,723.79,34:68:95:df:a0:09
Lucas,1.1,"[5.2, 5.6, 5.2, 5.3]",73.6,22.9,2026-08-21 14:41:03.579449,0.02,0.0,723.8,34:68:95:df:a0:09
Lucas,3.7,"[6.0, 3.3, 4.3, 3.2]",73.7,22.9,2026-08-21 14:41:10.584066,0.16,0.01,798.34,34:68:95:df:a0:09
Lucas,2.9,"[7.4, 5.8, 8.2, 5.9]",73.5,22.9,2026-08-21 14:41:17.587459,0.06,0.0,1771.83,34:68:95:df:a0:09
Lucas,1.5,"[2.5, 2.5, 3.9, 2.9]",73.7,22.9,2026-08-21 14:41:24.590933,0.03,0.0,797.98,34:68:95:df:a0:09
Lucas,5.7,"[4.4, 3.3, 3.7, 3.3]",73.6,22.9,2026-08-21 14:41:31.595447,0.13,0.12,649.12,34:68:95:df:a0:09
Lucas,2.8,"[4.1, 3.6, 2.6, 3.5]",73.4,22.9,2026-08-21 14:41:38.599804,0.08,0.04,798.29,34:68:95:df:a0:09
Lucas,2.7,"[4.2, 2.5, 3.4, 1.7]",73.4,22.9,2026-08-21 14:41:45.604340,0.2,0.0,723.82,34:68:95:df:a0:09
Lucas,2.5,"[3.2, 3.3, 4.5, 2.6]",73.5,22.9,2026-08-21 14:41:52.608703,0.21,0.0,723.72,34:68:95:df:a0:09
Lucas,1.3,"[4.1, 4.5, 3.6, 4.7]",73.4,22.9,2026-08-21 14:41:59.614345,0.02,0.0,798.21,34:68:95:df:a0:09
Lucas,1.6,"[3.1, 3.0, 3.3, 3.0]",73.4,22.9,2026-08-21 14:42:06.620493,0.01,0.0,574.54,34:68:95:df:a0:09
Lucas,1.4,"[1.9, 2.6, 3.0, 3.0]",73.3,22.9,2026-08-21 14:42:13.624911,0.04,0.0,723.77,34:68:95:df:a0:09
Lucas,2.9,"[3.1, 4.8, 2.5, 2.9]",73.5,22.9,2026-08-21 14:42:20.629347,0.02,0.0,798.32,34:68:95:df:a0:09
Lucas,1.9,"[2.9, 2.2, 3.3, 2.3]",73.3,22.9,2026-08-21 14:42:27.633668,0.07,0.0,798.4,34:68:95:df:a0:09
Lucas,2.5,"[3.2, 4.5, 2.6, 3.8]",73.3,22.9,2026-08-21 14:42:34.638318,0.23,0.0,798.22,34:68:95:df:a0:09
Lucas,2.5,"[2.5, 2.3, 3.3, 3.2]",73.3,22.9,2026-08-21 14:42:41.642849,0.03,0.0,649.15,34:68:95:df:a0:09
Lucas,2.8,"[4.1, 5.9, 4.6, 4.1]",73.2,22.9,2026-08-21 14:42:48.647353,0.05,0.0,723.74,34:68:95:df:a0:09
Lucas,1.5,"[2.5, 3.0, 3.3, 1.7]",73.4,22.9,2026-08-21 14:42:55.651893,0.02,0.0,574.55,34:68:95:df:a0:09
Lucas,2.2,"[3.6, 3.6, 4.3, 2.6]",73.3,22.9,2026-08-21 14:43:02.656116,0.03,0.0,649.11,34:68:95:df:a0:09
Lucas,1.8,"[1.9, 2.0, 2.7, 3.5]",73.3,22.9,2026-08-21 14:43:09.660578,0.19,0.0,798.44,34:68:95:df:a0:09
Lucas,1.8,"[3.0, 3.2, 1.9, 2.0]",73.2,22.9,2026-08-21 14:43:16.665000,0.06,0.0,798.3,34:68:95:df:a0:09
Lucas,1.6,"[2.9, 4.6, 3.7, 3.5]",73.5,22.9,2026-08-21 14:43:23.669427,0.04,0.0,574.55,34:68:95:df:a0:09
Lucas,4.2,"[2.9, 3.2, 2.7, 3.7]",73.5,22.9,2026-08-21 14:43:30.673755,0.03,0.06,649.11,34:68:95:df:a0:09
Lucas,2.1,"[5.2, 4.9, 4.5, 6.4]",73.4,22.9,2026-08-21 14:43:37.678215,0.04,0.01,798.15,34:68:95:df:a0:09
Lucas,1.5,"[5.4, 4.9, 4.6, 5.8]",73.3,22.9,2026-08-21 14:43:44.683224,0.04,0.0,724.14,34:68:95:df:a0:09
Lucas,2.4,"[3.1, 4.9, 2.6, 3.3]",73.5,22.9,2026-08-21 14:43:51.687735,0.01,0.0,723.78,34:68:95:df:a0:09
Lucas,2.6,"[3.2, 2.2, 2.3, 4.0]",73.4,22.9,2026-08-21 14:43:58.692398,0.2,0.0,574.55,34:68:95:df:a0:09
Lucas,3.9,"[4.2, 4.1, 3.5, 4.2]",73.4,22.9,2026-08-21 14:44:05.697167,0.35,0.0,798.28,34:68:95:df:a0:09
Lucas,3.4,"[3.3, 3.3, 2.5, 3.8]",73.5,22.9,2026-08-21 14:44:12.702047,0.09,0.04,798.35,34:68:95:df:a0:09
Lucas,4.2,"[4.1, 5.6, 2.9, 2.7]",73.7,22.9,2026-08-21 14:44:19.707362,0.11,0.0,798.43,34:68:95:df:a0:09
Lucas,2.8,"[6.3, 5.3, 4.0, 5.2]",73.6,22.9,2026-08-21 14:44:26.711882,0.25,0.0,798.21,34:68:95:df:a0:09
Lucas,2.5,"[4.4, 3.0, 3.3, 4.5]",73.3,22.9,2026-08-21 14:44:33.716332,0.29,0.04,723.67,34:68:95:df:a0:09
Lucas,1.6,"[4.1, 1.7, 2.0, 2.5]",73.4,22.9,2026-08-21 14:44:40.720876,0.05,0.0,574.55,34:68:95:df:a0:09
Lucas,1.3,"[2.0, 3.5, 2.6, 3.2]",73.2,22.9,2026-08-21 14:44:47.725288,0.05,0.0,649.11,34:68:95:df:a0:09
Lucas,1.6,"[3.5, 4.3, 2.6, 3.3]",73.4,22.9,2026-08-21 14:44:54.729630,0.01,0.0,723.65,34:68:95:df:a0:09
Lucas,9.1,"[4.1, 7.4, 5.1, 4.2]",73.6,22.9,2026-08-21 14:45:01.733470,0.31,0.01,2194.99,34:68:95:df:a0:09
Lucas,2.2,"[3.5, 2.6, 3.6, 3.2]",73.6,22.9,2026-08-21 14:45:08.736879,0.17,0.0,798.32,34:68:95:df:a0:09
Lucas,2.3,"[4.8, 4.3, 5.5, 4.6]",73.5,22.9,2026-08-21 14:45:15.741569,0.08,0.0,649.1,34:68:95:df:a0:09
Lucas,2.7,"[4.7, 2.7, 3.3, 6.6]",73.6,22.9,2026-08-21 14:45:22.746086,0.02,0.0,798.19,34:68:95:df:a0:09
